review_date,card_id,button,interval_days,time_seconds,card_type
"2025-12-21 10:05:35",1750501811092,easy,10,8.339,learning
"2025-12-21 10:05:40",1751060081375,easy,10,5.064,learning
"2025-12-21 10:05:44",1753394234105,easy,7,3.451,learning
"2025-12-21 10:05:49",1754413078226,good,-600,5.595,learning
"2025-12-21 10:05:53",1754413078226,good,2,3.809,learning
"2025-12-22 16:01:12",1759158532451,easy,8,3.0,learning
"2025-12-22 16:01:19",1759158532452,hard,-330,7.0,learning
"2025-12-22 16:01:24",1759158532453,easy,7,5.0,learning
"2025-12-22 16:01:29",1759158532454,again,-60,5.0,learning
"2025-12-22 16:01:33",1759158532455,again,-60,4.0,learning
"2025-12-22 16:01:55",1766310209753,again,-60,10.0,learning
"2025-12-22 16:02:07",1766310209754,again,-60,12.0,learning
"2025-12-22 16:02:11",1766310209755,easy,10,4.0,learning
"2025-12-22 16:02:26",1766310209756,again,-60,15.0,learning
"2025-12-22 16:02:31",1766310209757,easy,7,5.0,learning
"2025-12-22 16:02:42",1766310209758,good,-600,11.0,learning
"2025-12-22 16:02:49",1766310209759,again,-60,7.0,learning
"2025-12-22 16:03:48",1744804597416,easy,9,4.0,learning
"2025-12-22 16:03:53",1744804597417,easy,6,5.0,learning
"2025-12-22 16:03:56",1744804597418,easy,6,3.0,learning
"2025-12-22 16:04:00",1744804597419,easy,8,4.0,learning
"2025-12-22 16:29:33",1744804597420,good,-600,4.0,learning
"2025-12-22 16:29:45",1744804597421,easy,10,12.0,learning
"2025-12-22 16:29:52",1744804597422,easy,7,7.0,learning
"2025-12-22 16:29:55",1744804597423,easy,6,3.0,learning
"2025-12-22 16:30:01",1744804597424,easy,7,6.0,learning
"2025-12-22 16:30:05",1744804597425,easy,8,4.0,learning
"2025-12-22 16:30:13",1744804597426,easy,7,8.0,learning
"2025-12-22 19:27:06",1744804597420,easy,5,6.841,learning
"2025-12-22 19:27:13",1744804597427,again,-60,7.091,learning
"2025-12-22 19:27:22",1744804597428,easy,6,8.628,learning
"2025-12-22 19:27:37",1744804597429,again,-60,15.06,learning
"2025-12-22 19:27:43",1744804597430,easy,8,5.979,learning
"2025-12-22 19:28:39",1744804597431,easy,10,56.005,learning
"2025-12-22 19:30:22",1744804597427,again,-60,60.0,learning
"2025-12-22 19:30:31",1744804597429,easy,2,8.232,learning
"2025-12-22 19:30:38",1744804597432,easy,8,7.256,learning
"2025-12-22 19:30:44",1744804597433,easy,9,6.398,learning
"2025-12-22 19:31:11",1744804597434,again,-60,26.377,learning
"2025-12-22 19:31:19",1744804597435,again,-60,7.99,learning
"2025-12-22 19:31:23",1744804597427,again,-60,3.925,learning
"2025-12-22 19:31:27",1744804597434,easy,2,4.631,learning
"2025-12-22 19:32:37",1744804597427,again,-60,60.0,learning
"2025-12-22 19:32:45",1744804597435,easy,2,7.991,learning
"2025-12-22 19:32:51",1744804597427,again,-60,5.772,learning
"2025-12-22 19:32:58",1744804597427,easy,2,7.123,learning
"2025-12-22 21:18:12",1766310209753,good,-600,7.053,learning
"2025-12-22 21:18:22",1766310209754,again,-60,9.417,learning
"2025-12-22 21:18:28",1766310209756,easy,2,6.426,learning
"2025-12-22 21:18:47",1766310209759,easy,2,18.926,learning
"2025-12-22 21:18:57",1766310209758,again,-60,10.617,learning
"2025-12-22 21:19:06",1766310209760,easy,8,8.304,learning
"2025-12-22 21:19:56",1766310209761,again,-60,50.364,learning
"2025-12-22 21:20:27",1766310209754,easy,2,30.426,learning
"2025-12-22 21:20:33",1766310209758,easy,2,6.003,learning
"2025-12-22 21:20:42",1766310209762,again,-60,9.765,learning
"2025-12-22 21:20:50",1766310209763,easy,6,7.922,learning
"2025-12-22 21:21:10",1766310209764,good,-600,19.646,learning
"2025-12-22 21:21:14",1766310209761,easy,2,3.828,learning
"2025-12-23 09:19:08",1754413078226,easy,20,4.0,review
"2025-12-23 09:19:20",1744804597436,easy,10,4.0,learning
"2025-12-23 09:19:26",1744804597437,easy,10,6.0,learning
"2025-12-23 09:19:33",1744804597438,easy,9,7.0,learning
"2025-12-23 09:19:44",1744804597439,again,-60,11.0,learning
"2025-12-23 09:19:50",1744804597440,again,-60,6.0,learning
"2025-12-23 09:20:00",1744804597441,again,-60,10.0,learning
"2025-12-23 09:20:04",1744804597442,easy,6,4.0,learning
"2025-12-24 09:06:00",1744804597439,again,-60,3.682,learning
"2025-12-24 09:06:08",1744804597440,again,-60,8.122,learning
"2025-12-24 09:06:14",1744804597441,again,-60,6.021,learning
"2025-12-24 09:06:19",1744804597443,again,-60,4.714,learning
"2025-12-24 09:06:22",1744804597444,again,-60,3.486,learning
"2025-12-24 09:06:27",1744804597445,again,-60,4.892,learning
"2025-12-24 09:06:33",1744804597446,again,-60,5.938,learning
"2025-12-24 09:06:44",1744804597435,again,-600,10.404,review
"2025-12-24 09:06:50",1744804597447,again,-60,6.267,learning
"2025-12-24 09:06:53",1744804597448,again,-60,3.088,learning
"2025-12-24 09:06:59",1744804597449,again,-60,5.849,learning
"2025-12-24 09:07:04",1744804597450,again,-60,5.48,learning
"2025-12-24 09:07:13",1744804597439,good,-600,8.713,learning
"2025-12-24 09:07:20",1744804597429,easy,9,7.418,review
"2025-12-24 09:14:25",1766310209762,again,-60,6.48,learning
"2025-12-24 09:14:34",1766310209753,easy,6,8.839,learning
"2025-12-24 10:26:47",1766310209764,easy,17,60.0,learning
"2025-12-24 10:28:10",1766310209762,again,-60,60.0,learning
"2025-12-24 13:44:33",1766310209762,again,-60,9.0,learning
"2025-12-24 13:44:40",1766310209765,again,-60,7.0,learning
"2025-12-24 13:44:48",1766310209766,again,-60,8.0,learning
"2025-12-24 13:44:58",1766310209767,again,-60,10.0,learning
"2025-12-24 13:45:08",1766310209758,easy,11,10.0,review
"2025-12-24 13:45:15",1766310209768,again,-60,7.0,learning
"2025-12-24 13:45:18",1766310209769,again,-60,3.0,learning
"2025-12-24 13:45:30",1766310209770,good,-600,12.0,learning
"2025-12-24 13:45:37",1766310209756,easy,7,7.0,review
"2025-12-25 08:31:11",1766310209762,again,-60,6.0,learning
"2025-12-25 08:31:22",1766310209765,again,-60,11.0,learning
"2025-12-25 17:05:52",1766310209766,again,-60,6.944,learning
"2025-12-25 17:05:56",1766310209767,again,-60,3.603,learning
"2025-12-25 17:06:04",1766310209769,again,-60,7.673,learning
"2025-12-25 17:06:07",1766310209768,again,-60,3.808,learning
"2025-12-25 17:06:15",1766310209770,hard,-600,7.314,learning
"2025-12-25 17:06:21",1766310209762,again,-60,6.191,learning
"2025-12-25 17:06:28",1766310209765,again,-60,6.902,learning
"2025-12-25 17:06:36",1766310209771,again,-60,7.588,learning
"2025-12-25 17:06:42",1766310209772,again,-60,6.825,learning
"2025-12-25 17:15:03",1766310209766,again,-60,3.761,learning
"2025-12-25 17:15:10",1766310209767,again,-60,7.493,learning
"2025-12-25 17:15:16",1766310209768,easy,2,5.42,learning
"2025-12-25 17:15:27",1766310209769,good,-600,11.789,learning
"2025-12-25 17:15:38",1766310209762,good,-600,10.732,learning
"2025-12-25 17:15:47",1766310209765,again,-60,9.055,learning
"2025-12-25 17:15:50",1766310209771,again,-60,2.452,learning
"2025-12-25 17:15:56",1766310209772,easy,2,6.512,learning
"2025-12-25 17:16:02",1766310209773,again,-60,6.099,learning
"2025-12-26 09:41:20",1744804597441,again,-60,3.836,learning
"2025-12-26 09:41:30",1766310209766,again,-60,3.326,learning
"2025-12-26 09:41:37",1766310209767,good,-600,6.668,learning
"2025-12-26 09:41:48",1766310209765,easy,2,11.181,learning
"2025-12-26 12:02:10",1766310209771,again,-60,16.01,learning
"2025-12-26 12:02:17",1766310209773,easy,3,6.981,learning
"2025-12-26 12:02:24",1766310209770,easy,14,6.983,learning
"2025-12-26 16:39:56",1766310209769,again,-60,8.554,learning
"2025-12-26 16:40:02",1766310209762,again,-60,5.572,learning
"2025-12-26 16:40:08",1766310209766,again,-60,6.09,learning
"2025-12-26 16:40:15",1766310209767,easy,2,7.147,learning
"2025-12-26 16:40:38",1766310209771,again,-60,23.125,learning
"2025-12-26 16:40:44",1766310209774,again,-60,5.595,learning
"2025-12-26 16:40:55",1766310209775,easy,10,11.165,learning
"2025-12-26 16:41:02",1766310209776,again,-60,6.819,learning
"2025-12-26 16:59:39",1766310209769,again,-60,10.375,learning
"2025-12-26 16:59:45",1766310209762,easy,2,6.056,learning
"2025-12-26 16:59:50",1766310209766,easy,2,4.855,learning
"2025-12-26 16:59:56",1766310209771,again,-60,6.297,learning
"2025-12-26 17:00:08",1766310209774,easy,2,12.457,learning
"2025-12-26 17:00:17",1766310209776,good,-600,8.562,learning
"2025-12-26 17:00:28",1766310209777,again,-60,11.293,learning
"2025-12-26 17:00:38",1766310209778,again,-60,10.093,learning
"2025-12-28 08:57:51",1766310209769,again,-60,11.217,learning
"2025-12-28 08:57:57",1766310209771,easy,2,5.684,learning
"2025-12-28 08:58:03",1766310209777,easy,4,5.725,learning
"2025-12-28 08:58:12",1766310209778,again,-60,9.697,learning
"2025-12-28 08:58:17",1766310209776,easy,6,5.234,learning
"2025-12-28 08:58:30",1766310209779,easy,10,12.47,learning
"2025-12-28 08:58:38",1766310209761,easy,9,7.7,review
"2025-12-28 08:58:50",1766310209780,again,-60,12.729,learning
